Carrer de Balmes 150, Barcelona
Passeig de Gràcia 92, Barcelona
Carrer de Muntaner 245, Barcelona
Avinguda Diagonal 640, Barcelona
Carrer Gran de Gràcia 25, Barcelona
Plaça Catalunya 21, Barcelona
Rambla de Catalunya 78, Barcelona
Carrer Aragó 565, Barcelona
Carrer València 302, Barcelona
Carrer Provença 490, Barcelona
Carrer Major de Sarrià 134, Barcelona
Avinguda Tibidabo 12, Barcelona
Carrer de la Independència 45, Sabadell
Plaça de la Llibertat 12, Sabadell
Carrer del Sol 234, Sabadell
Avinguda Francesc Macià 67, Sabadell
Rambla de Sabadell 89, Sabadell
Carrer de Colom 156, Terrassa
Plaça Vella 8, Terrassa
Carrer del Nord 78, Terrassa
Avinguda del Vallès 234, Terrassa
Carrer de Sant Pere 45, Terrassa
Carrer del Mar 123, Badalona
Avinguda President Companys 67, Badalona
Plaça de la Vila 15, Badalona
Carrer Sant Josep 89, Badalona
Rambla de Sant Joan 34, Badalona
Carrer de la Constitució 234, L'Hospitalet
Avinguda del Carrilet 567, L'Hospitalet
Plaça de Europa 12, L'Hospitalet
Carrer de la Torrassa 89, L'Hospitalet
Carrer Major 156, L'Hospitalet
Avinguda Maresme 234, Mataró
Carrer de Santa Anna 67, Mataró
Plaça de Santa Maria 8, Mataró
Carrer del Port 45, Mataró
Rambla de Mataró 123, Mataró
